Курс;Категория;Всего_MB;Размер_резервной_копии_MB
Иностранный язык Эдиберидзе Л.Г Э-12 2022;Общеобразовательные дисциплины ;1;0
Эдиберидзе Л.Г. ПП 01 НП25 2022;Базовые дисциплины;1;0
Информактика И-18 Наумова Т.А. 2022;Общеобразовательные дисциплины ;1;0
Эдиберидзе Л.Г. Астрономия 2022;Базовые дисциплины;1;0
Малышева А.А. МДК 05.01 Н-33  (Филиал) 2022;Базовые дисциплины;1;0
Эдиберидзе Л.Г. УП 04.01 2022;Базовые дисциплины;1;0
Эдиберидзе Л.Г. ОП.01 2022;Базовые дисциплины;1;0
Плискин В.А. Курсовая работа 2022;Профессиональный цикл;1;0
Плискин В.А. Биология 2022;Базовые дисциплины;1;0
Плискин В.А. ПП У-29 2022;Базовые дисциплины;1;0
МенеджментСамохина Е.А. 2022;Общепрофессиональный цикл;1;0
Гражданское Право  Самохина Е.А 2022;Общепрофессиональный цикл;1;0
Плискин В.А. УП У-29 2022;Базовые дисциплины;1;0
Плискин В.А. Эффективное Поведение на рынке труда 2022;Базовые дисциплины;1;0
Плискин В.А. Основы бухгалтерского учета 2022;Базовые дисциплины;1;0
Информатика  У-19 Ивлев Д.М. 2022;Общеобразовательные дисциплины ;1;0
Плискин В.А. ОБЖ 2022;Базовые дисциплины;1;0
Плискин В.А.  Теория вероятностей и математическая статистика 2022;Базовые дисциплины;1;0
МДК.03.01 Петрова.Г.А 2022;Профессиональный Модуль;1;0
Теория вероятности Ю-30 Самохина Е.А 2022;Профильные дисциплины;1;0
Курсовая работа Хрусталева С.Н. 2022;Базовые дисциплины;1;0
МДК.01.02 К-28 Выборнова А.М. 2022;Профессиональный Модуль;1;0
Малышева А.А. МДК 01.04 2022;Базовые дисциплины;1;0
МДК.01.04 П-36 Плискин.В.А 2022;Профессиональный Модуль;1;0
Дискретная математика НП-11 Малышева.А.А 2022;Общеобразовательные дисциплины ;1;0
Малышева А.А. Дискретная математика 2022 П-26 ;Профессиональный цикл;1;0
Физика П-16 Арцыбашева И.И. 2022;Общеобразовательные дисциплины ;1;0
Пронина С.В. Математика Ю-25 2022;Общеобразовательные дисциплины ;1;0
Информатика Э-12 Наумова Т.А. 2022;Общеобразовательные дисциплины ;1;0
Плискин В.А. ПП.04 2022;Профессиональный цикл;1;0
МДК.01.01 У-29 Рахимова.Р.В 2022;Профессиональный Модуль;1;0
МДК.04.01 У-29 Рахимова.Р.В 2022;Профессиональный Модуль;1;0
МДК.02.01 С-27 Пушкина.А.М 2022;Профессиональный Модуль;1;0
МДК.01.01 А-23 2021 Бойков Ю.А. 2022;Профессиональный Модуль;1;0
Астрономия С-37 Григорьева.М.В 2022;Общеобразовательные дисциплины ;1;0
МДК.03.01 М-44 Григорьева.М.В 2022;Профессиональный Модуль;1;0
